id,new_rfp,new_question,question_to_llm,answer,ground_truth,existing_rfp
1,rfp_new_questions_client_100.csv,"What is your experience in developing AI-based applications, and can you provide examples of successful projects?","What is the most similar question to: ""What is your experience in developing AI-based applications, and can you provide examples of successful projects?""",None,Can you discuss your expertise in creating AI-driven applications and share examples of your successful implementations?,rfp_exisiting_questions_client_2.csv
2,rfp_new_questions_client_100.csv,How do you ensure your AI-based apps remain up-to-date with the latest AI advancements and technologies?,"What is the most similar question to: ""How do you ensure your AI-based apps remain up-to-date with the latest AI advancements and technologies?""",None,How do you keep your AI applications current with ongoing advancements in artificial intelligence?,rfp_exisiting_questions_client_2.csv
3,rfp_new_questions_client_100.csv,Can your AI-based applications be customized to meet specific user or business needs?,"What is the most similar question to: ""Can your AI-based applications be customized to meet specific user or business needs?""",None,Are your AI applications adaptable to specific requirements of users or businesses?,rfp_exisiting_questions_client_2.csv
4,rfp_new_questions_client_100.csv,What measures do you take to ensure user privacy and data security in your AI-based apps?,"What is the most similar question to: ""What measures do you take to ensure user privacy and data security in your AI-based apps?""",None,What steps do you undertake to protect user privacy and secure data within your AI applications?,rfp_exisiting_questions_client_2.csv
5,rfp_new_questions_client_100.csv,How do you approach user interface and experience design in AI-based apps to ensure ease of use and engagement?,"What is the most similar question to: ""How do you approach user interface and experience design in AI-based apps to ensure ease of use and engagement?""",None,What strategies do you employ to design user interfaces and experiences in AI applications to maximize usability and user engagement?,rfp_exisiting_questions_client_2.csv
6,rfp_new_questions_client_100.csv,Describe your support and maintenance services for AI-based applications post-launch.,"What is the most similar question to: ""Describe your support and maintenance services for AI-based applications post-launch.""",None,Explain the support and maintenance services you offer for AI applications after they go live.,rfp_exisiting_questions_client_2.csv
7,rfp_new_questions_client_100.csv,How do you measure the success and impact of your AI-based applications on client objectives?,"What is the most similar question to: ""How do you measure the success and impact of your AI-based applications on client objectives?""",None,How do you evaluate the effectiveness and impact of your AI applications in achieving client goals?,rfp_exisiting_questions_client_2.csv
8,rfp_new_questions_client_100.csv,"How do you ensure the ethical use of LLMs in your applications, particularly regarding bias mitigation and data privacy?","What is the most similar question to: ""How do you ensure the ethical use of LLMs in your applications, particularly regarding bias mitigation and data privacy?""",None,"How do you manage ethical concerns in your LLM applications, especially in terms of reducing bias and protecting data privacy?",rfp_exisiting_questions_client_2.csv
9,rfp_new_questions_client_100.csv,"Can you describe the process of training your LLMs, including data sourcing, model selection, and validation methods?","What is the most similar question to: ""Can you describe the process of training your LLMs, including data sourcing, model selection, and validation methods?""",None,"Could you outline how you train your LLMs, including how you select data, choose models, and conduct validations?",rfp_exisiting_questions_client_2.csv
10,rfp_new_questions_client_100.csv,How do you handle the continuous learning and updating of your LLMs to adapt to new data and evolving user needs?,"What is the most similar question to: ""How do you handle the continuous learning and updating of your LLMs to adapt to new data and evolving user needs?""",None,How do you ensure your LLMs continuously learn and update to accommodate new information and changing user demands?,rfp_exisiting_questions_client_2.csv
11,rfp_new_questions_client_100.csv,What measures do you take to ensure the transparency and explainability of decisions made by your LLMs?,"What is the most similar question to: ""What measures do you take to ensure the transparency and explainability of decisions made by your LLMs?""",None,What actions do you take to make the decision-making processes of your LLMs transparent and understandable?,rfp_exisiting_questions_client_2.csv
