	loan_rate_A	loan_rate_B	loan_rate_C	loan_rate_D	FEDFUNDS	diff1_loan_rate_A	diff1_loan_rate_B	diff1_loan_rate_C	diff1_loan_rate_D	diff1_FEDFUNDS	diff2_FEDFUNDS
2007-08-01	7.7666666666666675	9.497692307692308	10.9475	12.267	5.02	0.060000000000001386	0.1343589743589746	0.20749999999999957	-0.46744444444444433	-0.2400000000000002	-0.25
2007-09-01	7.841428571428572	9.276666666666666	10.829166666666666	12.436666666666667	4.94	0.07476190476190414	-0.22102564102564237	-0.11833333333333407	0.16966666666666796	-0.07999999999999918	0.16000000000000103
2007-10-01	7.83	9.433333333333334	10.825925925925926	12.737368421052631	4.76	-0.011428571428571566	0.15666666666666806	-0.003240740740739767	0.3007017543859636	-0.1800000000000006	-0.10000000000000142
2007-11-01	7.779090909090908	9.467777777777778	10.967037037037038	12.609444444444444	4.49	-0.05090909090909168	0.0344444444444445	0.14111111111111185	-0.12792397660818722	-0.2699999999999996	-0.08999999999999897
2007-12-01	7.695833333333333	9.3875	10.805	12.47888888888889	4.24	-0.08325757575757553	-0.08027777777777878	-0.1620370370370381	-0.13055555555555465	-0.25	0.019999999999999574
2008-01-01	7.961333333333333	9.693125	11.288055555555555	13.008199999999999	3.94	0.2655000000000003	0.3056250000000009	0.48305555555555557	0.5293111111111095	-0.30000000000000027	-0.050000000000000266
2008-02-01	8.130333333333333	10.035730337078652	11.525636363636362	13.235925925925926	2.98	0.1689999999999996	0.34260533707865193	0.23758080808080706	0.22772592592592744	-0.96	-0.6599999999999997
2008-03-01	8.126285714285714	10.05709677419355	11.60367816091954	13.145975609756098	2.61	-0.0040476190476184115	0.021366437114897607	0.07804179728317706	-0.08995031616982807	-0.3700000000000001	0.5899999999999999
2008-04-01	8.092083333333333	10.16122807017544	11.61359375	13.258260869565218	2.28	-0.03420238095238126	0.1041312959818903	0.009915589080460308	0.11228525980911996	-0.33000000000000007	0.040000000000000036
2008-05-01	8.151428571428571	10.077916666666667	11.634814814814815	12.974	1.98	0.05934523809523817	-0.0833114035087732	0.02122106481481545	-0.2842608695652178	-0.2999999999999998	0.03000000000000025
2008-06-01	8.2055	10.068181818181818	11.649117647058823	13.290416666666667	2.0	0.054071428571429436	-0.009734848484848513	0.014302832244007746	0.316416666666667	0.020000000000000018	0.31999999999999984
2008-07-01	8.220434782608695	10.158148148148147	11.78128205128205	13.3132	2.01	0.014934782608694519	0.08996632996632847	0.13216440422322684	0.022783333333332934	0.009999999999999787	-0.010000000000000231
2008-08-01	8.287	10.443636363636363	11.86875	13.460833333333333	2.0	0.06656521739130561	0.28548821548821657	0.0874679487179506	0.14763333333333328	-0.009999999999999787	-0.019999999999999574
2008-09-01	8.08	10.433333333333334	11.803333333333335	13.486666666666666	1.81	-0.20700000000000074	-0.010303030303029814	-0.06541666666666579	0.02583333333333293	-0.18999999999999995	-0.18000000000000016
2008-10-01	8.612857142857143	10.757333333333333	12.13025641025641	13.681764705882353	0.97	0.5328571428571429	0.32399999999999984	0.3269230769230749	0.19509803921568647	-0.8400000000000001	-0.6500000000000001
