CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain
845,0,41,2,81733.74,2,0,0,199761.29,0,0,1,0
635,0,38,1,0.0,2,1,0,90605.05,0,0,0,1
643,0,51,2,105229.53,1,1,0,34967.75,1,1,0,0
790,1,29,3,46057.96,2,1,1,189777.66,0,0,0,1
650,1,34,4,142393.11,1,1,1,11276.48,0,0,1,0
604,1,26,8,149542.52,2,0,1,197911.52,0,1,0,0
635,1,29,7,105405.97,1,1,1,149853.89,0,1,0,0
493,0,33,8,90791.69,1,1,1,59659.53,0,1,0,0
598,0,39,5,0.0,2,1,1,83103.46,0,0,0,1
663,0,33,2,0.0,2,1,0,153295.0,0,1,0,0
818,1,36,4,0.0,2,1,1,8037.03,0,1,0,0
850,0,46,2,157866.77,1,1,1,18986.12,0,1,0,0
683,0,29,0,157829.12,1,0,0,129891.66,0,1,0,0
583,0,57,3,238387.56,1,0,1,147964.99,1,1,0,0
687,1,34,7,129895.19,1,0,1,28698.17,0,1,0,0
604,1,40,5,155455.43,1,0,1,113581.85,0,0,0,1
655,1,44,8,87471.63,1,0,1,188593.98,0,1,0,0
575,1,43,3,0.0,1,1,0,83594.51,0,0,0,1
634,1,48,2,107247.69,1,1,1,103712.05,1,0,1,0
718,0,25,7,0.0,2,1,0,30380.12,0,1,0,0
781,1,35,7,92526.15,2,1,1,173837.54,0,0,1,0
466,1,41,2,152102.18,2,1,0,181879.56,0,0,1,0
675,0,57,8,0.0,2,0,1,95463.29,0,1,0,0
555,1,32,4,0.0,2,1,1,54405.79,0,0,0,1
518,0,45,8,0.0,2,1,1,36193.07,0,1,0,0
575,1,41,2,100062.39,1,0,0,126307.25,0,0,0,1
692,1,46,2,0.0,2,1,1,105983.09,0,0,0,1
726,1,30,8,134152.29,1,1,1,147822.44,0,0,0,1
673,0,42,4,0.0,2,1,0,121440.8,0,1,0,0
778,1,33,5,116474.28,2,1,1,32757.55,0,0,0,1
632,1,38,1,120599.21,1,1,0,92816.86,0,0,0,1
708,1,32,10,86614.06,2,1,1,172129.26,0,1,0,0
672,0,50,1,0.0,1,1,0,12106.82,1,1,0,0
642,0,39,8,128264.03,1,1,0,61792.76,1,0,1,0
744,1,31,0,117551.23,1,1,0,158958.9,0,0,0,1
516,1,32,3,145166.09,2,0,0,111421.45,0,0,1,0
665,0,38,5,0.0,2,1,0,156439.56,0,1,0,0
650,0,27,6,0.0,2,1,0,1002.39,0,1,0,0
723,0,40,7,142856.95,2,0,0,38019.74,0,1,0,0
567,1,54,9,96402.96,1,0,0,52035.29,1,1,0,0
850,0,33,3,0.0,2,1,1,11159.19,0,1,0,0
651,1,26,5,147037.32,1,0,0,141763.26,0,0,1,0
641,0,51,2,117306.69,4,1,1,26912.72,1,0,1,0
722,0,48,10,138311.76,1,1,1,3472.63,1,0,1,0
515,1,35,10,176273.95,1,0,1,121277.78,0,0,0,1
812,0,49,8,66079.45,2,0,0,91556.57,1,0,0,1
783,0,41,5,106640.5,1,1,0,176945.96,0,0,1,0
579,1,38,8,0.0,2,0,0,91763.67,0,1,0,0
639,1,43,6,99610.92,2,1,0,187296.78,0,1,0,0
657,1,30,1,139762.13,2,1,1,23317.88,0,0,1,0
600,1,43,8,133379.41,1,1,0,177378.66,1,0,1,0
501,1,38,9,88977.39,2,0,1,133403.07,0,0,1,0
743,1,39,6,0.0,2,1,0,44265.28,0,1,0,0
650,0,48,7,138232.24,1,1,0,57594.78,0,0,1,0
587,1,36,1,0.0,2,0,1,17135.6,0,1,0,0
758,0,33,7,0.0,1,1,0,188156.34,0,1,0,0
779,0,42,5,0.0,2,0,0,25951.91,0,1,0,0
572,1,47,4,99353.42,1,1,0,196549.85,1,0,1,0
554,0,55,0,108477.27,1,0,1,140003.0,1,0,1,0
850,1,28,2,101100.22,2,1,1,35337.31,0,0,1,0
611,1,38,4,71018.6,2,1,0,2444.29,0,1,0,0
633,0,33,4,92855.02,1,1,1,159813.18,0,0,0,1
665,1,28,8,191402.82,2,1,0,83238.4,0,1,0,0
732,1,33,8,0.0,1,1,0,119882.7,0,0,0,1
737,0,22,10,111543.26,2,0,0,106327.85,0,0,1,0
421,1,28,8,122384.22,3,1,1,89017.38,1,0,1,0
527,0,41,10,136733.24,1,1,1,57589.29,0,0,1,0
681,0,18,1,98894.39,1,1,1,9596.4,0,1,0,0
660,1,35,7,0.0,2,1,0,13218.6,0,1,0,0
794,1,33,8,0.0,2,0,0,91340.02,0,0,0,1
550,1,52,5,121016.23,1,1,1,41730.37,1,0,1,0
770,0,46,5,141788.63,2,0,0,164967.21,0,0,1,0
708,0,54,8,145151.4,1,0,1,125311.17,1,0,1,0
762,1,31,7,117687.35,1,1,1,159344.43,0,1,0,0
578,1,46,5,113226.47,1,1,0,56770.76,0,1,0,0
658,0,40,5,143566.12,1,1,1,189607.71,0,1,0,0
493,1,54,3,167831.88,2,1,0,150159.95,1,1,0,0
610,1,34,0,103108.17,1,0,0,125646.82,0,1,0,0
716,1,38,4,0.0,2,1,0,189678.7,0,1,0,0
514,0,46,3,106511.85,1,1,0,55072.32,0,1,0,0
684,0,41,7,0.0,1,1,1,138394.37,0,0,0,1
652,0,42,3,83492.07,2,1,0,37914.12,0,0,0,1
542,1,34,8,108653.93,1,0,1,144725.14,0,0,0,1
567,1,34,10,0.0,2,0,1,161571.79,0,0,0,1
689,0,40,1,0.0,2,1,1,119446.64,0,1,0,0
641,1,41,6,0.0,2,1,0,65396.79,0,1,0,0
631,1,35,9,112392.45,2,1,0,24472.23,0,1,0,0
612,0,33,0,64900.32,2,1,0,102426.12,0,1,0,0
488,0,34,2,0.0,2,1,1,181270.84,0,1,0,0
701,1,36,8,0.0,2,1,0,169161.46,0,0,0,1
616,0,41,1,103560.57,1,1,0,236.45,1,0,1,0
586,1,41,3,63873.56,1,1,0,83753.64,0,0,0,1
609,1,53,7,0.0,2,0,1,52332.85,0,1,0,0
527,1,32,0,0.0,1,1,0,109523.88,0,1,0,0
765,1,43,4,148962.76,1,0,1,173878.87,1,0,1,0
805,1,50,9,130023.38,1,1,0,62989.82,1,0,1,0
629,1,41,10,150148.51,1,0,0,6936.27,0,0,0,1
784,1,23,2,0.0,1,1,1,6847.73,0,0,0,1
840,1,30,8,136291.71,1,1,0,54113.38,0,1,0,0
627,0,44,5,0.0,2,1,0,82969.61,1,1,0,0
745,0,35,8,0.0,2,1,1,116581.1,0,0,0,1
683,1,35,5,144961.97,1,0,1,26796.73,0,0,1,0
628,1,43,3,184926.61,1,1,0,122937.57,0,0,0,1
678,0,28,4,0.0,2,1,1,144423.17,1,1,0,0
770,1,46,9,190678.02,1,1,1,14725.36,0,0,0,1
624,0,48,3,122388.38,2,0,0,30020.09,0,0,1,0
826,0,30,5,0.0,2,0,1,157397.57,0,1,0,0
726,1,28,2,0.0,1,0,0,98060.51,0,1,0,0
816,1,31,8,0.0,2,1,1,28407.4,0,1,0,0
850,0,26,4,62610.96,2,0,1,179365.1,0,1,0,0
713,0,39,10,0.0,2,1,1,126263.97,0,1,0,0
661,1,39,5,0.0,2,0,0,181461.46,0,1,0,0
850,1,28,8,99986.98,1,1,0,196582.55,0,1,0,0
468,0,22,1,76318.64,1,1,1,194783.12,0,1,0,0
561,0,28,3,0.0,2,1,0,191387.76,0,0,0,1
614,1,35,2,127283.78,1,1,1,31302.35,0,0,0,1
674,0,39,6,0.0,2,1,1,9574.83,0,0,0,1
674,1,43,8,85957.88,2,1,0,8757.39,0,0,1,0
688,1,52,1,0.0,2,1,1,172033.57,0,1,0,0
673,1,39,8,138160.0,1,1,1,110468.51,0,0,0,1
511,0,33,3,0.0,2,1,0,132436.71,0,1,0,0
611,1,68,5,82547.11,2,1,1,146448.01,0,1,0,0
503,0,36,9,0.0,2,1,1,16274.67,0,0,0,1
644,1,33,8,0.0,2,1,1,155294.17,0,1,0,0
518,1,29,9,125961.74,2,1,0,160303.08,1,0,1,0
540,1,39,4,127278.31,1,1,1,16150.34,0,0,1,0
682,1,38,4,107192.38,1,1,1,15669.17,0,1,0,0
492,0,31,7,0.0,2,1,1,49463.44,0,1,0,0
611,1,38,7,0.0,1,1,1,63202.0,0,1,0,0
673,0,57,4,0.0,2,1,1,49684.09,0,0,0,1
667,1,70,3,77356.92,2,1,1,20881.96,0,0,1,0
717,1,36,2,102989.83,2,0,1,49185.57,0,0,0,1
755,1,40,2,137430.82,2,0,0,176768.59,0,0,1,0
787,1,39,10,108935.39,1,1,1,101168.3,0,0,0,1
663,0,36,6,77253.5,1,0,0,35817.97,1,0,1,0
658,1,31,5,100082.14,1,0,1,49809.88,0,1,0,0
521,1,30,2,107316.09,1,1,0,64299.82,0,1,0,0
662,1,29,5,147092.65,1,1,0,10928.3,0,1,0,0
501,0,41,3,144260.5,1,1,0,172114.67,0,1,0,0
733,1,35,8,102918.38,1,1,1,45959.86,0,0,0,1
482,1,38,4,124976.19,1,1,0,35848.12,0,1,0,0
638,0,42,7,165679.92,1,0,0,32916.29,0,1,0,0
627,1,62,3,143426.34,2,1,1,143104.3,0,0,1,0
643,1,36,0,148159.71,1,0,0,55835.66,0,1,0,0
645,1,25,1,157404.02,2,1,0,93073.04,0,0,1,0
686,1,60,9,0.0,3,1,1,75246.21,1,1,0,0
405,1,39,10,0.0,1,1,0,160810.85,1,1,0,0
665,1,33,2,101286.11,1,1,1,159840.51,0,1,0,0
566,1,63,2,120787.18,2,1,1,52198.84,0,0,0,1
524,0,31,8,107818.63,1,1,0,199725.39,1,0,1,0
542,1,35,2,174894.53,1,1,1,22314.55,0,0,0,1
660,0,20,6,167685.56,1,1,0,57929.9,0,1,0,0
560,0,31,5,125341.69,1,1,0,79547.39,0,0,0,1
420,0,34,1,135549.9,1,0,0,149471.13,1,0,1,0
695,0,31,5,0.0,2,0,1,13998.88,0,0,0,1
616,1,37,5,144235.73,2,0,0,154957.66,1,1,0,0
542,1,54,8,105770.14,1,0,1,140929.98,1,0,0,1
724,1,41,5,0.0,1,0,1,115753.94,0,0,0,1
659,1,36,6,123841.49,2,1,0,96833.0,0,1,0,0
626,0,44,10,81553.93,1,1,0,20063.63,1,1,0,0
850,1,51,4,124425.99,1,0,0,118545.49,1,0,1,0
612,0,47,6,130024.87,1,1,1,45750.21,1,0,1,0
575,0,54,9,68332.96,1,1,1,144390.75,0,1,0,0
563,0,36,4,143680.47,2,1,1,63531.19,0,0,0,1
693,0,38,3,0.0,2,0,0,78133.48,1,1,0,0
712,1,74,5,0.0,2,0,0,151425.82,0,0,0,1
567,1,36,1,0.0,2,0,0,8555.73,0,1,0,0
506,1,35,6,110046.93,2,1,0,26318.73,0,0,0,1
733,1,44,3,106070.89,1,0,1,101617.43,0,0,0,1
674,1,36,2,154525.7,1,0,1,27468.72,0,1,0,0
526,1,52,8,93590.47,1,0,1,21228.71,1,1,0,0
611,0,37,6,0.0,2,1,0,110782.88,0,1,0,0
485,0,21,5,113157.22,1,1,1,54141.5,0,0,0,1
794,0,22,4,114440.24,1,1,1,107753.07,0,0,0,1
521,1,39,7,0.0,2,0,1,653.58,0,1,0,0
535,0,38,0,135919.33,1,1,0,80425.65,0,1,0,0
635,0,29,8,138296.94,2,1,0,141075.51,0,0,0,1
553,1,46,3,82291.1,1,1,0,112549.99,1,0,1,0
813,0,36,6,98088.09,1,0,1,26687.22,1,0,1,0
835,0,47,5,108289.28,2,1,1,45859.55,1,0,1,0
411,0,54,9,0.0,1,0,1,76621.49,0,1,0,0
660,1,41,1,129901.21,1,1,0,26025.6,1,0,1,0
594,0,21,2,87096.82,2,1,0,168186.11,0,0,1,0
808,1,45,7,118626.55,2,1,0,147132.46,0,1,0,0
586,1,42,6,0.0,2,1,1,123410.23,0,0,0,1
677,1,58,9,0.0,1,0,1,168650.4,0,1,0,0
654,0,54,5,0.0,2,0,1,47139.06,0,0,0,1
850,0,45,5,127258.79,1,1,1,192744.23,1,0,1,0
683,0,43,4,115888.04,1,1,1,117349.19,1,0,1,0
473,0,32,5,146602.25,2,1,1,72946.95,0,0,1,0
613,1,47,6,146034.74,1,1,1,77146.14,0,1,0,0
675,0,38,1,104016.88,1,0,0,22068.83,1,1,0,0
808,0,33,2,103516.87,1,1,0,113907.8,0,1,0,0
850,1,43,5,129305.09,2,0,1,19244.58,0,0,1,0
845,0,43,3,152063.59,2,1,0,97910.06,0,0,1,0
625,0,45,3,0.0,1,1,1,184474.15,1,1,0,0
724,0,28,5,0.0,1,1,0,59351.68,0,1,0,0
686,0,41,10,0.0,1,1,1,144272.71,1,1,0,0
554,0,37,4,58629.97,1,0,0,182038.6,0,0,1,0
660,1,35,8,58641.43,1,0,1,198674.08,0,0,1,0
679,0,33,6,0.0,2,1,1,98015.85,0,1,0,0
628,1,27,5,95826.49,2,1,0,155996.96,0,0,1,0
773,1,51,4,0.0,2,0,0,123587.83,1,0,0,1
565,0,44,1,0.0,2,0,1,89602.81,0,1,0,0
650,1,25,7,160599.06,2,1,1,28391.52,0,0,0,1
616,0,44,7,193213.02,2,1,1,137392.77,0,0,0,1
734,0,39,6,92126.26,2,0,0,112973.34,0,0,0,1
678,0,54,1,123699.28,2,0,1,105221.76,0,0,1,0
811,0,47,3,123365.34,2,0,0,171995.34,0,1,0,0
526,1,38,2,0.0,2,0,0,58010.98,0,0,0,1
834,0,49,2,131394.56,1,0,0,194365.76,1,1,0,0
653,0,36,3,0.0,2,0,0,110525.6,0,0,0,1
653,1,33,1,0.0,2,0,0,53379.52,0,1,0,0
660,1,38,4,0.0,2,0,0,88080.43,0,1,0,0
718,1,33,7,102874.28,1,0,0,117841.06,0,1,0,0
666,0,27,1,85225.21,1,0,1,64511.44,0,1,0,0
577,1,42,9,0.0,1,1,0,74077.91,0,1,0,0
752,0,41,8,0.0,2,1,0,139844.04,1,1,0,0
490,1,40,6,156111.08,1,0,0,190889.13,0,0,0,1
790,1,37,6,0.0,2,1,1,119484.01,0,0,0,1
611,0,28,3,96381.68,2,1,0,181419.29,0,0,0,1
667,1,24,4,0.0,2,0,0,180329.83,0,1,0,0
553,1,32,3,116324.53,1,1,0,77304.49,0,1,0,0
628,0,29,9,71996.29,1,1,1,34857.46,0,1,0,0
584,1,38,1,115341.55,1,0,1,173632.92,0,1,0,0
725,0,33,4,0.0,1,1,1,67879.8,0,1,0,0
633,1,29,6,117412.35,1,0,0,30338.94,0,0,1,0
656,1,46,9,143267.14,2,0,0,193099.43,0,1,0,0
682,0,38,1,116520.28,1,1,1,49833.5,1,0,1,0
844,1,40,7,113348.14,1,1,0,31904.31,1,1,0,0
435,1,36,4,0.0,1,1,1,197015.2,0,1,0,0
685,0,43,1,132667.17,1,1,1,41876.98,0,1,0,0
717,0,34,1,0.0,2,1,0,119313.74,0,0,0,1
501,0,34,7,93244.42,1,0,1,199805.63,0,0,1,0
562,0,51,7,122822.0,2,0,0,32626.21,0,1,0,0
580,1,55,6,104305.74,1,0,1,175750.21,0,1,0,0
690,0,36,6,110480.48,1,0,0,81292.33,0,1,0,0
505,1,40,6,47869.69,2,1,1,155061.97,0,0,1,0
545,0,37,8,114754.08,1,1,0,136050.44,1,0,1,0
540,0,40,8,0.0,2,1,0,3560.0,0,0,0,1
633,1,29,7,0.0,1,1,1,130224.73,0,1,0,0
528,0,26,10,102073.67,2,0,0,166799.93,0,1,0,0
749,0,29,7,137059.05,3,1,0,102975.72,1,0,1,0
710,1,49,10,129164.88,1,1,1,193266.72,0,0,1,0
627,1,30,3,128770.88,2,1,1,40199.01,0,0,1,0
661,1,38,7,143006.7,1,1,1,15650.89,0,0,0,1
712,1,36,2,100749.5,3,0,0,70758.37,1,1,0,0
612,0,38,7,110615.47,1,1,1,193502.93,0,1,0,0
590,1,43,7,81076.8,2,1,1,182627.25,1,1,0,0
445,1,25,6,0.0,2,1,0,119425.94,0,1,0,0
549,1,25,6,193858.2,1,0,1,21600.11,0,0,0,1
726,1,31,9,0.0,2,1,1,106117.3,0,1,0,0
432,0,45,3,110219.14,1,1,0,43046.7,1,0,1,0
793,1,63,0,0.0,2,0,1,27166.75,0,0,0,1
622,1,29,7,101486.96,1,1,1,8788.35,0,1,0,0
651,1,37,9,114453.58,1,0,1,175820.91,0,0,1,0
595,0,39,7,120962.13,1,0,0,23305.01,0,1,0,0
669,0,42,1,103873.39,1,1,0,148611.52,0,0,1,0
619,0,55,0,0.0,3,0,0,60810.64,1,1,0,0
715,1,38,2,96798.79,2,1,1,4554.67,0,0,0,1
654,1,29,4,132954.64,1,1,1,146715.07,0,1,0,0
642,1,62,7,0.0,2,1,1,61120.75,0,1,0,0
550,1,37,3,0.0,1,1,1,179670.31,0,1,0,0
587,1,38,0,0.0,2,1,0,47414.15,0,1,0,0
619,1,27,1,154483.98,1,1,0,156394.74,0,1,0,0
677,0,41,8,146720.98,2,1,1,4195.84,0,0,1,0
461,0,74,1,186445.31,2,1,1,196767.83,0,0,1,0
727,1,45,6,114422.85,2,1,1,104678.78,1,0,1,0
741,1,25,4,0.0,2,1,1,73873.65,0,0,0,1
759,0,39,6,0.0,2,1,1,140497.67,0,1,0,0
726,0,31,9,114722.05,2,1,1,98178.57,0,1,0,0
736,0,26,0,84587.9,1,0,1,188037.76,0,0,1,0
524,1,29,3,159035.45,1,1,0,2705.31,1,0,0,1
527,1,37,5,93722.73,2,1,1,139093.73,0,0,0,1
606,0,36,10,0.0,2,0,1,155641.46,0,1,0,0
719,1,61,5,0.0,2,0,1,29132.43,0,1,0,0
759,0,35,7,147936.42,1,1,1,106785.7,0,0,0,1
765,1,41,4,124182.21,1,0,0,100153.43,0,1,0,0
682,1,55,9,0.0,1,1,0,153356.8,1,1,0,0
801,1,58,1,79954.61,2,1,1,30484.19,0,0,0,1
696,0,51,5,0.0,2,1,0,55022.43,0,0,0,1
806,1,25,7,0.0,2,1,0,18461.9,0,0,0,1
602,1,31,7,155271.83,1,1,1,179446.31,0,1,0,0
552,0,42,8,103362.14,1,0,1,186869.58,1,0,1,0
565,1,32,9,0.0,2,1,0,5388.3,0,1,0,0
688,1,40,6,0.0,1,1,1,47886.44,0,1,0,0
814,1,48,9,136596.85,1,1,1,185791.9,0,1,0,0
614,1,38,2,116248.88,1,1,0,105140.92,0,1,0,0
713,1,41,3,0.0,2,1,0,55772.04,0,1,0,0
587,0,44,5,125584.17,2,1,1,41852.24,1,0,1,0
647,0,44,5,0.0,3,1,1,174205.22,1,0,0,1
520,1,35,9,105387.89,1,1,1,25059.06,0,1,0,0
618,0,21,2,125682.79,1,0,0,57762.0,0,1,0,0
841,1,28,4,0.0,2,1,1,179436.6,0,0,0,1
659,1,78,2,151675.65,1,0,1,49978.67,0,0,0,1
595,1,35,8,0.0,1,1,0,100015.79,1,0,0,1
711,1,32,5,0.0,2,1,1,147720.27,0,0,0,1
687,0,29,7,93617.07,1,0,1,113050.92,0,0,0,1
590,0,37,0,64345.21,1,0,1,61759.33,1,0,0,1
703,1,73,5,137761.55,1,1,1,159677.46,0,0,0,1
427,1,40,8,0.0,2,1,1,82870.75,0,0,0,1
738,1,18,4,0.0,2,1,1,47799.15,0,1,0,0
596,1,40,5,62389.03,3,1,0,148623.43,1,0,1,0
682,1,40,4,0.0,1,0,1,105352.55,0,1,0,0
584,0,59,1,0.0,1,0,1,130260.11,1,0,0,1
771,1,39,5,0.0,2,1,0,96270.64,0,1,0,0
600,1,57,9,138456.03,2,1,1,103548.25,0,0,1,0
591,0,38,2,142289.28,1,0,1,119638.85,0,1,0,0
584,0,37,10,134171.8,4,1,1,70927.11,1,0,1,0
542,0,39,4,109949.39,2,1,1,41268.65,0,1,0,0
850,0,29,7,0.0,2,1,0,23237.25,0,0,0,1
694,1,38,7,121527.4,1,1,0,113481.02,0,0,0,1
644,0,32,8,141528.88,1,1,1,167087.34,1,0,1,0
529,1,31,6,0.0,1,1,0,10625.91,0,0,0,1
778,1,38,3,145018.49,2,1,1,126702.41,0,1,0,0
647,0,51,1,119741.77,2,0,0,54954.51,1,0,1,0
431,1,45,5,83624.55,2,0,0,36899.62,0,0,1,0
624,1,71,7,0.0,2,1,1,108841.83,0,1,0,0
737,0,70,9,87542.89,2,1,1,42576.86,0,1,0,0
688,0,24,3,0.0,2,1,1,102195.16,0,0,0,1
557,0,38,2,129893.56,1,0,0,102076.03,0,0,1,0
698,0,36,7,121263.62,1,1,1,13387.88,0,0,1,0
744,1,41,7,190409.34,2,1,1,138361.48,0,0,1,0
727,0,31,10,96997.09,2,0,0,76614.04,0,0,0,1
584,0,39,2,112687.69,1,1,1,127749.61,0,1,0,0
623,0,44,6,0.0,2,0,0,167162.43,0,1,0,0
651,1,23,10,0.0,2,1,1,170099.23,0,1,0,0
682,1,44,3,115282.3,1,0,0,23766.4,0,1,0,0
749,1,36,7,0.0,2,0,0,80134.65,0,0,0,1
656,1,30,3,0.0,2,0,1,17104.0,0,1,0,0
732,1,38,5,178787.54,1,1,1,195760.53,0,0,1,0
710,1,43,9,128284.45,1,1,0,32996.89,1,1,0,0
699,0,29,9,127570.93,2,1,0,164756.81,0,0,0,1
655,0,27,9,0.0,2,0,0,108008.05,0,0,0,1
