DATE,GDPC1,GS5,GS10,GS3,MORTGAGE30US,UNRATE,CPIAUCSL,FEDFUNDS,GDP
1947-01-01,2034.45,,,,,,21.48,,243.164
1947-02-01,,,,,,,21.62,,
1947-03-01,,,,,,,22.0,,
1947-04-01,2029.024,,,,,,22.0,,245.968
1947-05-01,,,,,,,21.95,,
1947-06-01,,,,,,,22.08,,
1947-07-01,2024.834,,,,,,22.23,,249.585
1947-08-01,,,,,,,22.4,,
1947-09-01,,,,,,,22.84,,
1947-10-01,2056.508,,,,,,22.91,,259.745
1947-11-01,,,,,,,23.06,,
1947-12-01,,,,,,,23.41,,
1948-01-01,2087.442,,,,,3.4,23.68,,265.742
1948-02-01,,,,,,3.8,23.67,,
1948-03-01,,,,,,4.0,23.5,,
1948-04-01,2121.899,,,,,3.9,23.82,,272.567
1948-05-01,,,,,,3.5,24.01,,
1948-06-01,,,,,,3.6,24.15,,
1948-07-01,2134.056,,,,,3.6,24.4,,279.196
1948-08-01,,,,,,3.9,24.43,,
1948-09-01,,,,,,3.8,24.36,,
1948-10-01,2136.44,,,,,3.7,24.31,,280.366
1948-11-01,,,,,,3.8,24.16,,
1948-12-01,,,,,,4.0,24.05,,
1949-01-01,2107.001,,,,,4.3,24.01,,275.034
1949-02-01,,,,,,4.7,23.91,,
1949-03-01,,,,,,5.0,23.91,,
1949-04-01,2099.814,,,,,5.3,23.92,,271.351
1949-05-01,,,,,,6.1,23.91,,
1949-06-01,,,,,,6.2,23.92,,
1949-07-01,2121.493,,,,,6.7,23.7,,272.889
1949-08-01,,,,,,6.8,23.7,,
1949-09-01,,,,,,6.6,23.75,,
1949-10-01,2103.688,,,,,7.9,23.67,,270.627
1949-11-01,,,,,,6.4,23.7,,
1949-12-01,,,,,,6.6,23.61,,
1950-01-01,2186.365,,,,,6.5,23.51,,280.828
1950-02-01,,,,,,6.4,23.61,,
1950-03-01,,,,,,6.3,23.64,,
1950-04-01,2253.045,,,,,5.8,23.65,,290.383
1950-05-01,,,,,,5.5,23.77,,
1950-06-01,,,,,,5.4,23.88,,
1950-07-01,2340.112,,,,,5.0,24.07,,308.153
1950-08-01,,,,,,4.5,24.2,,
1950-09-01,,,,,,4.4,24.34,,
1950-10-01,2384.92,,,,,4.2,24.5,,319.945
1950-11-01,,,,,,4.2,24.6,,
1950-12-01,,,,,,4.3,24.98,,
1951-01-01,2417.311,,,,,3.7,25.38,,336.0
1951-02-01,,,,,,3.4,25.83,,
1951-03-01,,,,,,3.4,25.88,,
1951-04-01,2459.196,,,,,3.1,25.92,,344.09
1951-05-01,,,,,,3.0,25.99,,
1951-06-01,,,,,,3.2,25.93,,
1951-07-01,2509.88,,,,,3.1,25.91,,351.385
1951-08-01,,,,,,3.1,25.86,,
1951-09-01,,,,,,3.3,26.03,,
1951-10-01,2515.408,,,,,3.5,26.16,,356.178
1951-11-01,,,,,,3.5,26.32,,
1951-12-01,,,,,,3.1,26.47,,
1952-01-01,2542.286,,,,,3.2,26.45,,359.82
1952-02-01,,,,,,3.1,26.41,,
1952-03-01,,,,,,2.9,26.39,,
1952-04-01,2547.762,,,,,2.9,26.46,,361.03
1952-05-01,,,,,,3.0,26.47,,
